CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
31	769	176244	0.43	177013
32	729	176126	0.41	176855
33	735	176667	0.41	177402
34	748	176482	0.42	177230
35	737	176148	0.42	176885
36	855	177937	0.48	178792
37	756	177873	0.42	178629
38	689	176630	0.39	177319
39	769	175626	0.44	176395
40	707	175583	0.40	176290
41	771	174428	0.44	175199
42	725	176085	0.41	176810
43	675	177355	0.38	178030
44	694	176418	0.39	177112
45	881	177338	0.49	178219
46	726	176396	0.41	177122
47	880	176642	0.50	177522
48	723	177912	0.40	178635
49	793	178405	0.44	179198
50	757	178051	0.42	178808
51	809	176348	0.46	177157
52	746	176648	0.42	177394
53	754	176187	0.43	176941
54	717	177323	0.40	178040
55	729	178015	0.41	178744
56	752	177234	0.42	177986
57	833	177972	0.47	178805
58	782	177543	0.44	178325
59	725	176223	0.41	176948
60	806	176277	0.46	177083
61	751	175883	0.43	176634
62	731	175720	0.41	176451
63	749	175520	0.42	176269
64	754	176043	0.43	176797
65	737	176453	0.42	177190
66	789	177387	0.44	178176
67	800	176903	0.45	177703
68	719	177943	0.40	178662
69	746	177890	0.42	178636
70	782	178701	0.44	179483
71	772	177607	0.43	178379
72	770	177938	0.43	178708
73	863	177897	0.48	178760
74	777	176671	0.44	177448
75	695	175776	0.39	176471
76	721	177747	0.40	178468
77	833	179480	0.46	180313
78	750	178513	0.42	179263
79	721	178212	0.40	178933
80	690	177679	0.39	178369
81	775	177318	0.44	178093
82	803	177554	0.45	178357
83	808	178554	0.45	179362
84	770	176948	0.43	177718
85	764	176965	0.43	177729
86	796	178666	0.44	179462
87	703	176816	0.40	177519
88	747	176035	0.42	176782
89	747	176127	0.42	176874
90	748	176723	0.42	177471
91	732	176953	0.41	177685
92	848	177616	0.48	178464
93	717	177682	0.40	178399
94	762	176055	0.43	176817
95	795	176217	0.45	177012
96	756	177102	0.43	177858
97	723	177070	0.41	177793
98	738	177649	0.41	178387
99	792	178366	0.44	179158
100	803	178035	0.45	178838
101	762	178038	0.43	178800
102	775	176611	0.44	177386
103	767	176556	0.43	177323
104	788	176053	0.45	176841
105	779	175260	0.44	176039
106	726	176253	0.41	176979
107	884	176417	0.50	177301
108	737	176611	0.42	177348
109	760	177796	0.43	178556
110	818	177709	0.46	178527
111	744	178506	0.42	179250
112	812	179118	0.45	179930
113	805	177597	0.45	178402
114	812	176243	0.46	177055
115	809	176514	0.46	177323
116	739	177028	0.42	177767
117	764	176053	0.43	176817
118	870	176113	0.49	176983
119	797	176354	0.45	177151
120	944	175941	0.53	176885
121	833	177319	0.47	178152
122	812	176361	0.46	177173
123	770	174847	0.44	175617
124	691	175579	0.39	176270
125	802	175063	0.46	175865
126	833	175844	0.47	176677
127	990	177391	0.55	178381
128	733	175839	0.42	176572
129	780	176130	0.44	176910
130	807	176098	0.46	176905
131	842	176693	0.47	177535
132	800	176610	0.45	177410
133	981	177257	0.55	178238
134	924	173933	0.53	174857
135	1082	175057	0.61	176139
136	1308	175001	0.74	176309
137	1602	174296	0.91	175898
138	2422	173446	1.38	175868
139	3848	171122	2.20	174970
140	3693	161015	2.24	164708

CHH context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	4165	571963	0.72	576128
2	3894	529460	0.73	533354
3	3842	551505	0.69	555347
4	4054	572901	0.70	576955
5	3865	570747	0.67	574612
6	3799	575316	0.66	579115
7	3900	579915	0.67	583815
8	4006	576947	0.69	580953
9	3892	582174	0.66	586066
10	4045	578943	0.69	582988
11	3946	580725	0.67	584671
12	4019	576898	0.69	580917
13	4213	588825	0.71	593038
14	4265	579682	0.73	583947
15	4008	582312	0.68	586320
16	4221	577002	0.73	581223
17	4101	576827	0.71	580928
18	4185	576100	0.72	580285
19	4283	579983	0.73	584266
20	4254	577847	0.73	582101
21	4234	580265	0.72	584499
22	4243	583868	0.72	588111
23	4224	583131	0.72	587355
24	4315	585365	0.73	589680
25	4287	582347	0.73	586634
26	4444	578041	0.76	582485
27	4490	576546	0.77	581036
28	4402	577826	0.76	582228
29	4337	577055	0.75	581392
30	4430	576738	0.76	581168
31	4502	579674	0.77	584176
32	4561	579280	0.78	583841
33	4543	581537	0.78	586080
34	4486	582821	0.76	587307
35	4444	583684	0.76	588128
36	4673	578994	0.80	583667
37	4460	581618	0.76	586078
38	4548	577541	0.78	582089
39	4510	579142	0.77	583652
40	4453	578882	0.76	583335
41	4730	580005	0.81	584735
42	4432	582329	0.76	586761
43	4465	586266	0.76	590731
44	4423	583757	0.75	588180
45	4476	582844	0.76	587320
46	4432	581569	0.76	586001
47	4738	576078	0.82	580816
48	4501	576215	0.78	580716
49	4460	578173	0.77	582633
50	4483	574462	0.77	578945
51	4510	575722	0.78	580232
52	4476	579510	0.77	583986
53	4603	580328	0.79	584931
54	4576	580518	0.78	585094
55	4491	580802	0.77	585293
56	4624	579130	0.79	583754
57	4639	577830	0.80	582469
58	4629	580278	0.79	584907
59	4535	576942	0.78	581477
60	4743	577833	0.81	582576
61	4521	581071	0.77	585592
62	4661	583273	0.79	587934
63	4498	583437	0.77	587935
64	4422	588432	0.75	592854
65	4512	585346	0.76	589858
66	4486	584277	0.76	588763
67	4738	582633	0.81	587371
68	4593	585293	0.78	589886
69	4470	583083	0.76	587553
70	4748	581137	0.81	585885
71	4529	579648	0.78	584177
72	4575	581352	0.78	585927
73	4760	580317	0.81	585077
74	4791	580557	0.82	585348
75	4568	580314	0.78	584882
76	4650	582972	0.79	587622
77	4697	581009	0.80	585706
78	4718	583073	0.80	587791
79	4579	578341	0.79	582920
80	4694	578198	0.81	582892
81	4517	580903	0.77	585420
82	4626	582516	0.79	587142
83	4714	578747	0.81	583461
84	4765	581912	0.81	586677
85	4621	580756	0.79	585377
86	4815	580238	0.82	585053
87	4586	578321	0.79	582907
88	4680	578799	0.80	583479
89	4653	579834	0.80	584487
90	4747	582287	0.81	587034
91	4745	582997	0.81	587742
92	5160	581934	0.88	587094
93	4569	581898	0.78	586467
94	4728	580509	0.81	585237
95	4727	583280	0.80	588007
96	4621	581123	0.79	585744
97	4570	583132	0.78	587702
98	4866	580870	0.83	585736
99	4692	579210	0.80	583902
100	4771	581966	0.81	586737
101	4545	578885	0.78	583430
102	4743	577631	0.81	582374
103	4706	578126	0.81	582832
104	4912	580136	0.84	585048
105	4716	582699	0.80	587415
106	4710	582888	0.80	587598
107	5051	578226	0.87	583277
108	4797	579804	0.82	584601
109	4593	579634	0.79	584227
110	4727	579234	0.81	583961
111	4708	581300	0.80	586008
112	4786	581787	0.82	586573
113	4898	579795	0.84	584693
114	4691	579894	0.80	584585
115	4829	579740	0.83	584569
116	4741	581225	0.81	585966
117	4743	582109	0.81	586852
118	4958	583592	0.84	588550
119	4754	580985	0.81	585739
120	5084	583266	0.86	588350
121	4806	582910	0.82	587716
122	4940	581670	0.84	586610
123	4718	583225	0.80	587943
124	4697	583381	0.80	588078
125	4790	583369	0.81	588159
126	4886	583189	0.83	588075
127	5229	581386	0.89	586615
128	4672	581186	0.80	585858
129	4581	581254	0.78	585835
130	4720	580214	0.81	584934
131	5018	579816	0.86	584834
132	5074	579641	0.87	584715
133	5324	576652	0.91	581976
134	5687	573950	0.98	579637
135	6209	574880	1.07	581089
136	7238	577724	1.24	584962
137	9471	575246	1.62	584717
138	11523	571070	1.98	582593
139	12363	564842	2.14	577205
140	11561	535722	2.11	547283

CpG context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	17706	33231	34.76	50937
2	12790	31664	28.77	44454
3	10985	29091	27.41	40076
4	10627	29080	26.76	39707
5	9256	29080	24.14	38336
6	8333	27333	23.36	35666
7	7992	26033	23.49	34025
8	7752	24881	23.76	32633
9	7665	24243	24.02	31908
10	7379	24254	23.33	31633
11	7238	24248	22.99	31486
12	7283	24141	23.18	31424
13	7298	24072	23.26	31370
14	7411	24514	23.21	31925
15	7332	24401	23.11	31733
16	7350	24209	23.29	31559
17	7488	24308	23.55	31796
18	7396	24505	23.18	31901
19	7452	24374	23.41	31826
20	7440	24385	23.38	31825
21	7627	24605	23.66	32232
22	7449	24190	23.54	31639
23	7484	24028	23.75	31512
24	7375	23793	23.66	31168
25	7414	23916	23.66	31330
26	7195	23687	23.30	30882
27	7219	23507	23.49	30726
28	7159	23291	23.51	30450
29	7257	22718	24.21	29975
30	6964	23112	23.15	30076
31	6988	22862	23.41	29850
32	7018	22414	23.84	29432
33	7006	22635	23.64	29641
34	6892	22539	23.42	29431
35	6656	22545	22.79	29201
36	6957	22129	23.92	29086
37	6796	22064	23.55	28860
38	6640	22002	23.18	28642
39	6721	21715	23.64	28436
40	6672	21779	23.45	28451
41	6461	21234	23.33	27695
42	6333	21262	22.95	27595
43	6487	21285	23.36	27772
44	6392	20811	23.50	27203
45	6413	20595	23.74	27008
46	6256	20260	23.59	26516
47	6143	20395	23.15	26538
48	6164	20227	23.36	26391
49	5953	20138	22.82	26091
50	6068	19791	23.47	25859
51	6056	19519	23.68	25575
52	5976	19338	23.61	25314
53	5935	18989	23.81	24924
54	5773	19144	23.17	24917
55	5781	18953	23.37	24734
56	5689	19014	23.03	24703
57	5701	18638	23.42	24339
58	5661	18276	23.65	23937
59	5591	18319	23.38	23910
60	5466	18099	23.20	23565
61	5554	17754	23.83	23308
62	5428	17710	23.46	23138
63	5509	17371	24.08	22880
64	5263	17440	23.18	22703
65	5347	17031	23.89	22378
66	5159	16772	23.52	21931
67	5224	16868	23.65	22092
68	5232	16634	23.93	21866
69	5112	16809	23.32	21921
70	5002	16429	23.34	21431
71	5059	16173	23.83	21232
72	4883	15947	23.44	20830
73	4900	15665	23.83	20565
74	4898	15651	23.84	20549
75	4801	15553	23.59	20354
76	4677	15376	23.32	20053
77	4603	15344	23.08	19947
78	4634	15053	23.54	19687
79	4552	15226	23.02	19778
80	4649	15059	23.59	19708
81	4626	14380	24.34	19006
82	4497	14672	23.46	19169
83	4468	14358	23.73	18826
84	4335	14106	23.51	18441
85	4296	13904	23.60	18200
86	4398	13913	24.02	18311
87	4144	13754	23.15	17898
88	4101	13401	23.43	17502
89	4049	13461	23.12	17510
90	4088	13381	23.40	17469
91	4074	12869	24.05	16943
92	4043	13053	23.65	17096
93	3907	12917	23.22	16824
94	3877	12668	23.43	16545
95	3955	12345	24.26	16300
96	3755	12217	23.51	15972
97	3674	11984	23.46	15658
98	3733	12057	23.64	15790
99	3662	11876	23.57	15538
100	3580	11770	23.32	15350
101	3620	11742	23.56	15362
102	3530	11604	23.32	15134
103	3559	11344	23.88	14903
104	3419	11210	23.37	14629
105	3507	11434	23.47	14941
106	3326	10896	23.39	14222
107	3347	10900	23.49	14247
108	3297	10832	23.33	14129
109	3191	10764	22.87	13955
110	3226	10623	23.29	13849
111	3108	10514	22.82	13622
112	3122	10012	23.77	13134
113	3118	10002	23.77	13120
114	3038	10002	23.30	13040
115	3050	9730	23.87	12780
116	3071	9750	23.95	12821
117	2989	9621	23.70	12610
118	2879	9580	23.11	12459
119	2954	9266	24.17	12220
120	2886	9198	23.88	12084
121	2802	9351	23.06	12153
122	2715	9210	22.77	11925
123	2784	9032	23.56	11816
124	2781	8788	24.04	11569
125	2700	8762	23.56	11462
126	2659	8546	23.73	11205
127	2749	8316	24.84	11065
128	2528	8375	23.19	10903
129	2630	8341	23.97	10971
130	2461	8139	23.22	10600
131	2560	8050	24.13	10610
132	2584	7882	24.69	10466
133	2485	7757	24.26	10242
134	2463	7789	24.02	10252
135	2489	7466	25.00	9955
136	2329	7197	24.45	9526
137	2222	7044	23.98	9266
138	2171	6799	24.20	8970
139	2065	6101	25.29	8166
140	2050	2	99.90	2052

CHG context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	45002	105471	29.91	150473
2	32853	177090	15.65	209943
3	13986	172163	7.51	186149
4	8807	170377	4.92	179184
5	6136	178034	3.33	184170
6	3848	175529	2.15	179377
7	2780	165318	1.65	168098
8	2054	159183	1.27	161237
9	1583	158103	0.99	159686
10	1175	156651	0.74	157826
11	934	155639	0.60	156573
12	843	155287	0.54	156130
13	738	154474	0.48	155212
14	752	153845	0.49	154597
15	704	153531	0.46	154235
16	649	152406	0.42	153055
17	734	153670	0.48	154404
18	734	152920	0.48	153654
19	723	152259	0.47	152982
20	674	150705	0.45	151379
21	613	151333	0.40	151946
22	659	150327	0.44	150986
23	619	151404	0.41	152023
24	616	149981	0.41	150597
25	659	148132	0.44	148791
26	564	148999	0.38	149563
27	661	147726	0.45	148387
28	614	146817	0.42	147431
29	667	144822	0.46	145489
30	594	143809	0.41	144403
31	579	143706	0.40	144285
32	604	143412	0.42	144016
33	572	142383	0.40	142955
34	600	140159	0.43	140759
35	573	139678	0.41	140251
36	692	139078	0.50	139770
37	721	137427	0.52	138148
38	580	136521	0.42	137101
39	678	135889	0.50	136567
40	612	134759	0.45	135371
41	622	134429	0.46	135051
42	611	133221	0.46	133832
43	555	131447	0.42	132002
44	588	130719	0.45	131307
45	536	129166	0.41	129702
46	600	128888	0.46	129488
47	552	127871	0.43	128423
48	571	126412	0.45	126983
49	540	125159	0.43	125699
50	485	124648	0.39	125133
51	540	122990	0.44	123530
52	485	122282	0.40	122767
53	589	120937	0.48	121526
54	529	119724	0.44	120253
55	523	119028	0.44	119551
56	544	117680	0.46	118224
57	505	116942	0.43	117447
58	512	115880	0.44	116392
59	495	114751	0.43	115246
60	518	114337	0.45	114855
61	460	111908	0.41	112368
62	497	111737	0.44	112234
63	489	109456	0.44	109945
64	514	108773	0.47	109287
65	529	107157	0.49	107686
66	479	106844	0.45	107323
67	516	105346	0.49	105862
68	468	104817	0.44	105285
69	515	103592	0.49	104107
70	534	102510	0.52	103044
71	441	102048	0.43	102489
72	449	101117	0.44	101566
73	501	100173	0.50	100674
74	459	99114	0.46	99573
75	404	98215	0.41	98619
76	431	97092	0.44	97523
77	463	95865	0.48	96328
78	449	95026	0.47	95475
79	381	94234	0.40	94615
80	477	93641	0.51	94118
81	436	92751	0.47	93187
82	403	91862	0.44	92265
83	410	90954	0.45	91364
84	452	90254	0.50	90706
85	392	87972	0.44	88364
86	399	87756	0.45	88155
87	393	86919	0.45	87312
88	361	86393	0.42	86754
89	398	84672	0.47	85070
90	393	84125	0.46	84518
91	405	83685	0.48	84090
92	375	82069	0.45	82444
93	415	81649	0.51	82064
94	426	80399	0.53	80825
95	420	79458	0.53	79878
96	425	78686	0.54	79111
97	406	77210	0.52	77616
98	394	76665	0.51	77059
99	387	75398	0.51	75785
100	389	75114	0.52	75503
101	432	74012	0.58	74444
102	423	73594	0.57	74017
103	402	71775	0.56	72177
104	420	71403	0.58	71823
105	399	70658	0.56	71057
106	363	69874	0.52	70237
107	452	69332	0.65	69784
108	389	68094	0.57	68483
109	407	68006	0.59	68413
110	406	66725	0.60	67131
111	367	65991	0.55	66358
112	450	64528	0.69	64978
113	378	63833	0.59	64211
114	395	63467	0.62	63862
115	404	62504	0.64	62908
116	390	61578	0.63	61968
117	410	61085	0.67	61495
118	388	60351	0.64	60739
119	376	59771	0.63	60147
120	375	58776	0.63	59151
121	391	57285	0.68	57676
122	382	57188	0.66	57570
123	375	56952	0.65	57327
124	374	55566	0.67	55940
125	420	54433	0.77	54853
126	380	54319	0.69	54699
127	369	53618	0.68	53987
128	350	52988	0.66	53338
129	376	51678	0.72	52054
130	404	50828	0.79	51232
131	392	50415	0.77	50807
132	348	49521	0.70	49869
133	371	48676	0.76	49047
134	389	48109	0.80	48498
135	315	47525	0.66	47840
136	297	46374	0.64	46671
137	274	44267	0.62	44541
138	275	42471	0.64	42746
139	198	37882	0.52	38080
140	125	0	100.00	125

CHH context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	132686	342694	27.91	475380
2	102073	372753	21.50	474826
3	81131	429139	15.90	510270
4	57624	470921	10.90	528545
5	37042	508652	6.79	545694
6	26091	545530	4.56	571621
7	18693	560692	3.23	579385
8	13932	557876	2.44	571808
9	10463	556059	1.85	566522
10	7822	555469	1.39	563291
11	6454	554690	1.15	561144
12	5371	549161	0.97	554532
13	4557	547917	0.82	552474
14	4396	541959	0.80	546355
15	3947	537804	0.73	541751
16	3628	531248	0.68	534876
17	3716	527024	0.70	530740
18	3359	522953	0.64	526312
19	3434	518975	0.66	522409
20	3257	514788	0.63	518045
21	2993	510091	0.58	513084
22	3084	506334	0.61	509418
23	3109	501309	0.62	504418
24	2983	498879	0.59	501862
25	3026	493942	0.61	496968
26	2853	491359	0.58	494212
27	2954	487383	0.60	490337
28	2928	483885	0.60	486813
29	3061	480571	0.63	483632
30	2805	476148	0.59	478953
31	2833	474921	0.59	477754
32	2809	473684	0.59	476493
33	2626	471478	0.55	474104
34	2729	466712	0.58	469441
35	2710	464251	0.58	466961
36	2902	459634	0.63	462536
37	3155	456119	0.69	459274
38	2716	450902	0.60	453618
39	2814	447689	0.62	450503
40	2564	444914	0.57	447478
41	2625	441450	0.59	444075
42	2620	437799	0.59	440419
43	2491	432751	0.57	435242
44	2523	429090	0.58	431613
45	2350	425874	0.55	428224
46	2493	420367	0.59	422860
47	2410	417863	0.57	420273
48	2408	414100	0.58	416508
49	2407	409929	0.58	412336
50	2355	405735	0.58	408090
51	2355	402534	0.58	404889
52	2320	398058	0.58	400378
53	2362	397296	0.59	399658
54	2285	392972	0.58	395257
55	2250	389725	0.57	391975
56	2424	385100	0.63	387524
57	2217	382020	0.58	384237
58	2118	379385	0.56	381503
59	2321	376364	0.61	378685
60	2200	372684	0.59	374884
61	2080	369694	0.56	371774
62	2031	367074	0.55	369105
63	2222	363464	0.61	365686
64	2048	360817	0.56	362865
65	2140	356366	0.60	358506
66	2178	352961	0.61	355139
67	2035	348575	0.58	350610
68	1980	345197	0.57	347177
69	2087	341020	0.61	343107
70	2254	336003	0.67	338257
71	1992	333066	0.59	335058
72	1935	330846	0.58	332781
73	2024	327582	0.61	329606
74	1879	323412	0.58	325291
75	1870	319472	0.58	321342
76	1904	317906	0.60	319810
77	1848	314630	0.58	316478
78	1904	311144	0.61	313048
79	1825	307919	0.59	309744
80	1804	304741	0.59	306545
81	1855	301196	0.61	303051
82	1722	297254	0.58	298976
83	1637	296404	0.55	298041
84	1711	292481	0.58	294192
85	1762	288868	0.61	290630
86	1760	285385	0.61	287145
87	1672	282750	0.59	284422
88	1677	280116	0.60	281793
89	1823	277239	0.65	279062
90	1651	274831	0.60	276482
91	1627	271897	0.59	273524
92	1659	268553	0.61	270212
93	1688	265900	0.63	267588
94	1644	263481	0.62	265125
95	1828	260800	0.70	262628
96	1691	257118	0.65	258809
97	1621	254795	0.63	256416
98	1641	250221	0.65	251862
99	1570	248453	0.63	250023
100	1514	245296	0.61	246810
101	1675	242779	0.69	244454
102	1598	240627	0.66	242225
103	1649	238458	0.69	240107
104	1602	234303	0.68	235905
105	1586	232423	0.68	234009
106	1564	229060	0.68	230624
107	1712	226427	0.75	228139
108	1515	223752	0.67	225267
109	1577	221010	0.71	222587
110	1601	218514	0.73	220115
111	1479	216645	0.68	218124
112	1555	213210	0.72	214765
113	1490	210703	0.70	212193
114	1456	208134	0.69	209590
115	1508	205711	0.73	207219
116	1539	202812	0.75	204351
117	1575	199728	0.78	201303
118	1444	197907	0.72	199351
119	1376	195763	0.70	197139
120	1485	193326	0.76	194811
121	1436	190999	0.75	192435
122	1533	189098	0.80	190631
123	1317	186666	0.70	187983
124	1528	184656	0.82	186184
125	1437	182043	0.78	183480
126	1435	179254	0.79	180689
127	1361	176222	0.77	177583
128	1355	174115	0.77	175470
129	1376	171318	0.80	172694
130	1430	169214	0.84	170644
131	1379	167542	0.82	168921
132	1261	164656	0.76	165917
133	1296	161651	0.80	162947
134	1421	158640	0.89	160061
135	1200	155895	0.76	157095
136	1139	153123	0.74	154262
137	1053	148163	0.71	149216
138	936	141113	0.66	142049
139	729	127603	0.57	128332
140	419	176	70.42	595

