CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
87	50611	14882	77.28	65493
88	50031	14787	77.19	64818
89	49771	14488	77.45	64259
90	49997	14590	77.41	64587
91	50317	14776	77.30	65093
92	49918	14665	77.29	64583
93	50382	14579	77.56	64961
94	49709	14580	77.32	64289
95	50347	14769	77.32	65116
96	50808	14847	77.39	65655
97	50360	14896	77.17	65256
98	50599	14805	77.36	65404
99	50294	14712	77.37	65006
100	50278	14686	77.39	64964
101	50316	14817	77.25	65133
102	50192	14727	77.31	64919
103	50369	14816	77.27	65185
104	50300	14871	77.18	65171
105	50396	14488	77.67	64884
106	49798	14441	77.52	64239
107	50253	14771	77.28	65024
108	50477	14860	77.26	65337
109	50604	14681	77.51	65285
110	50639	14693	77.51	65332
111	51479	14919	77.53	66398
112	50867	14984	77.25	65851
113	50228	14697	77.36	64925
114	49991	14539	77.47	64530
115	49614	14385	77.52	63999
116	50057	14741	77.25	64798
117	51038	14921	77.38	65959
118	50224	14589	77.49	64813
119	50085	14786	77.21	64871
120	50522	14710	77.45	65232
121	49867	14475	77.50	64342
122	50544	14869	77.27	65413
123	50401	14688	77.43	65089
124	49701	14597	77.30	64298
125	50092	14161	77.96	64253
126	49845	14749	77.17	64594
127	50140	14769	77.25	64909
128	49888	14822	77.09	64710
129	50929	14791	77.49	65720
130	49798	14983	76.87	64781
131	50069	14823	77.16	64892
132	49850	15127	76.72	64977
133	50323	14887	77.17	65210
134	49938	14880	77.04	64818
135	50329	14962	77.08	65291
136	50044	14893	77.07	64937
137	49861	14939	76.95	64800
138	49277	15070	76.58	64347
139	48882	15181	76.30	64063
140	47608	14344	76.85	61952

CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	6106	334301	1.79	340407
2	5714	294088	1.91	299802
3	5586	297125	1.85	302711
4	5514	304369	1.78	309883
5	5342	301813	1.74	307155
6	5216	302974	1.69	308190
7	5237	303199	1.70	308436
8	5352	300777	1.75	306129
9	5389	305940	1.73	311329
10	5604	309874	1.78	315478
11	5537	311294	1.75	316831
12	5378	307938	1.72	313316
13	5511	308632	1.75	314143
14	5445	310676	1.72	316121
15	5431	309345	1.73	314776
16	5609	310429	1.77	316038
17	5617	307503	1.79	313120
18	5513	307170	1.76	312683
19	5600	311575	1.77	317175
20	5297	310908	1.68	316205
21	5362	310000	1.70	315362
22	5403	308459	1.72	313862
23	5441	310951	1.72	316392
24	5417	313143	1.70	318560
25	5580	313972	1.75	319552
26	5552	311044	1.75	316596
27	5538	312707	1.74	318245
28	5362	313242	1.68	318604
29	5586	315279	1.74	320865
30	5395	310705	1.71	316100
31	5533	313619	1.73	319152
32	5491	313527	1.72	319018
33	5488	313493	1.72	318981
34	5520	314202	1.73	319722
35	5454	311833	1.72	317287
36	5903	313032	1.85	318935
37	5530	315479	1.72	321009
38	5476	312765	1.72	318241
39	5553	312082	1.75	317635
40	5547	312243	1.75	317790
41	5454	311460	1.72	316914
42	5519	314308	1.73	319827
43	5378	315772	1.67	321150
44	5561	314621	1.74	320182
45	5627	313683	1.76	319310
46	5461	314689	1.71	320150
47	5732	314320	1.79	320052
48	5444	315412	1.70	320856
49	5699	318474	1.76	324173
50	5571	314152	1.74	319723
51	5520	313995	1.73	319515
52	5431	315681	1.69	321112
53	5676	312815	1.78	318491
54	5454	315536	1.70	320990
55	5514	316376	1.71	321890
56	5715	315669	1.78	321384
57	5769	314790	1.80	320559
58	5551	315841	1.73	321392
59	5438	313145	1.71	318583
60	5714	315474	1.78	321188
61	5591	312908	1.76	318499
62	5399	313152	1.69	318551
63	5571	313948	1.74	319519
64	5642	313164	1.77	318806
65	5498	314178	1.72	319676
66	5621	315782	1.75	321403
67	5689	313900	1.78	319589
68	5482	316538	1.70	322020
69	5448	316368	1.69	321816
70	5644	317696	1.75	323340
71	5584	316032	1.74	321616
72	5430	317612	1.68	323042
73	5815	316107	1.81	321922
74	5544	314280	1.73	319824
75	5520	312560	1.74	318080
76	5497	315854	1.71	321351
77	5798	316819	1.80	322617
78	5708	317405	1.77	323113
79	5597	315818	1.74	321415
80	5434	315164	1.69	320598
81	5419	316803	1.68	322222
82	5727	315393	1.78	321120
83	5636	317621	1.74	323257
84	5526	316122	1.72	321648
85	5717	316876	1.77	322593
86	5727	317339	1.77	323066
87	5700	314088	1.78	319788
88	5742	314521	1.79	320263
89	5549	312718	1.74	318267
90	5500	315199	1.72	320699
91	5535	314972	1.73	320507
92	5797	316417	1.80	322214
93	5574	315973	1.73	321547
94	5487	314833	1.71	320320
95	5608	314841	1.75	320449
96	5460	313877	1.71	319337
97	5426	315094	1.69	320520
98	5524	315055	1.72	320579
99	5527	316712	1.72	322239
100	5529	316666	1.72	322195
101	5449	315778	1.70	321227
102	5645	315198	1.76	320843
103	5595	312721	1.76	318316
104	5565	314094	1.74	319659
105	5677	313397	1.78	319074
106	5596	313401	1.75	318997
107	5703	313691	1.79	319394
108	5563	314704	1.74	320267
109	5692	314910	1.78	320602
110	5432	316408	1.69	321840
111	5532	317224	1.71	322756
112	5871	316779	1.82	322650
113	5820	316153	1.81	321973
114	5521	314658	1.72	320179
115	5679	314743	1.77	320422
116	5579	315139	1.74	320718
117	5595	312721	1.76	318316
118	5857	313511	1.83	319368
119	5661	313403	1.77	319064
120	5985	312505	1.88	318490
121	5564	314154	1.74	319718
122	5767	313343	1.81	319110
123	5635	313014	1.77	318649
124	5580	313639	1.75	319219
125	5602	314648	1.75	320250
126	5673	313400	1.78	319073
127	6116	315071	1.90	321187
128	5788	314512	1.81	320300
129	5520	312933	1.73	318453
130	5748	312670	1.81	318418
131	5794	313819	1.81	319613
132	5898	313707	1.85	319605
133	5904	314315	1.84	320219
134	5829	312931	1.83	318760
135	6219	311200	1.96	317419
136	6118	311949	1.92	318067
137	6802	311124	2.14	317926
138	7708	309141	2.43	316849
139	9544	304490	3.04	314034
140	9362	286197	3.17	295559

CHH context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	13889	1019488	1.34	1033377
2	13247	938687	1.39	951934
3	13446	983333	1.35	996779
4	12977	1023416	1.25	1036393
5	12614	1021130	1.22	1033744
6	12162	1031061	1.17	1043223
7	12902	1043956	1.22	1056858
8	12878	1037307	1.23	1050185
9	12834	1044757	1.21	1057591
10	12912	1037513	1.23	1050425
11	12683	1038947	1.21	1051630
12	12542	1033145	1.20	1045687
13	13328	1047701	1.26	1061029
14	12721	1035288	1.21	1048009
15	12750	1039723	1.21	1052473
16	13020	1033053	1.24	1046073
17	12765	1033355	1.22	1046120
18	12658	1034456	1.21	1047114
19	13115	1042140	1.24	1055255
20	12754	1037019	1.21	1049773
21	12884	1040373	1.22	1053257
22	13044	1045362	1.23	1058406
23	13026	1040866	1.24	1053892
24	12823	1044859	1.21	1057682
25	13100	1041341	1.24	1054441
26	13088	1036033	1.25	1049121
27	13361	1035178	1.27	1048539
28	13033	1038297	1.24	1051330
29	12853	1037025	1.22	1049878
30	12889	1034612	1.23	1047501
31	13103	1039541	1.24	1052644
32	12870	1034678	1.23	1047548
33	13123	1037742	1.25	1050865
34	13129	1040877	1.25	1054006
35	13270	1043403	1.26	1056673
36	13573	1037945	1.29	1051518
37	13019	1044283	1.23	1057302
38	13213	1039805	1.25	1053018
39	13015	1041819	1.23	1054834
40	12937	1041714	1.23	1054651
41	13366	1041837	1.27	1055203
42	12729	1043784	1.20	1056513
43	13121	1047899	1.24	1061020
44	13061	1044106	1.24	1057167
45	13554	1042294	1.28	1055848
46	12819	1041030	1.22	1053849
47	13825	1036355	1.32	1050180
48	13057	1036273	1.24	1049330
49	13199	1038779	1.25	1051978
50	12931	1033178	1.24	1046109
51	12969	1036141	1.24	1049110
52	12993	1041051	1.23	1054044
53	13115	1039707	1.25	1052822
54	12731	1040227	1.21	1052958
55	13048	1042554	1.24	1055602
56	13210	1036780	1.26	1049990
57	13573	1037471	1.29	1051044
58	13146	1043717	1.24	1056863
59	12949	1036719	1.23	1049668
60	13515	1038970	1.28	1052485
61	13268	1045418	1.25	1058686
62	13024	1045715	1.23	1058739
63	13045	1047027	1.23	1060072
64	13207	1053155	1.24	1066362
65	13216	1048212	1.25	1061428
66	13106	1048995	1.23	1062101
67	13357	1044228	1.26	1057585
68	13117	1047931	1.24	1061048
69	12918	1047033	1.22	1059951
70	13192	1045047	1.25	1058239
71	12909	1042453	1.22	1055362
72	13127	1041842	1.24	1054969
73	13480	1039023	1.28	1052503
74	13569	1039857	1.29	1053426
75	13198	1037842	1.26	1051040
76	13330	1042470	1.26	1055800
77	13328	1041733	1.26	1055061
78	13548	1043660	1.28	1057208
79	13242	1040232	1.26	1053474
80	13100	1039472	1.24	1052572
81	12912	1041838	1.22	1054750
82	13208	1045405	1.25	1058613
83	13422	1040633	1.27	1054055
84	13163	1045052	1.24	1058215
85	13482	1041700	1.28	1055182
86	13432	1039181	1.28	1052613
87	13151	1039025	1.25	1052176
88	13376	1039237	1.27	1052613
89	13226	1043132	1.25	1056358
90	13183	1046461	1.24	1059644
91	13725	1046797	1.29	1060522
92	13901	1044743	1.31	1058644
93	13011	1043424	1.23	1056435
94	13169	1044120	1.25	1057289
95	13278	1043393	1.26	1056671
96	13125	1044805	1.24	1057930
97	13230	1044992	1.25	1058222
98	13391	1042308	1.27	1055699
99	13409	1041897	1.27	1055306
100	13559	1044176	1.28	1057735
101	13178	1041851	1.25	1055029
102	13524	1040764	1.28	1054288
103	13545	1041696	1.28	1055241
104	13644	1043225	1.29	1056869
105	13287	1044390	1.26	1057677
106	13266	1045916	1.25	1059182
107	13960	1038278	1.33	1052238
108	13537	1041305	1.28	1054842
109	13477	1042964	1.28	1056441
110	13594	1041115	1.29	1054709
111	13561	1043939	1.28	1057500
112	13698	1048110	1.29	1061808
113	13635	1042962	1.29	1056597
114	13487	1043486	1.28	1056973
115	13549	1043135	1.28	1056684
116	13436	1042277	1.27	1055713
117	13642	1045283	1.29	1058925
118	14275	1045998	1.35	1060273
119	13746	1043441	1.30	1057187
120	14338	1047756	1.35	1062094
121	13637	1049453	1.28	1063090
122	13899	1049298	1.31	1063197
123	13411	1051124	1.26	1064535
124	13349	1052503	1.25	1065852
125	13676	1049775	1.29	1063451
126	13781	1047275	1.30	1061056
127	14600	1040854	1.38	1055454
128	13473	1042554	1.28	1056027
129	13309	1042633	1.26	1055942
130	13856	1041141	1.31	1054997
131	14040	1043121	1.33	1057161
132	14083	1044079	1.33	1058162
133	14807	1040123	1.40	1054930
134	15010	1035360	1.43	1050370
135	15802	1033560	1.51	1049362
136	17512	1038909	1.66	1056421
137	20133	1034989	1.91	1055122
138	22624	1029457	2.15	1052081
139	23831	1020142	2.28	1043973
140	22533	959152	2.30	981685

CpG context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	60306	39002	60.73	99308
2	53009	27438	65.89	80447
3	51303	22506	69.51	73809
4	51742	21589	70.56	73331
5	48411	19439	71.35	67850
6	45072	17603	71.91	62675
7	43892	15928	73.37	59820
8	43066	15318	73.76	58384
9	43167	14813	74.45	57980
10	42814	14475	74.73	57289
11	43244	14001	75.54	57245
12	43437	13935	75.71	57372
13	43159	13705	75.90	56864
14	43895	13397	76.62	57292
15	43951	13648	76.31	57599
16	44148	13418	76.69	57566
17	44284	13408	76.76	57692
18	44764	13539	76.78	58303
19	44940	13563	76.82	58503
20	44920	13536	76.84	58456
21	44719	13501	76.81	58220
22	45282	13362	77.22	58644
23	45270	13434	77.12	58704
24	44753	13453	76.89	58206
25	44993	13284	77.21	58277
26	44321	13161	77.10	57482
27	44341	13208	77.05	57549
28	43965	13072	77.08	57037
29	43819	12788	77.41	56607
30	43778	12966	77.15	56744
31	43554	12666	77.47	56220
32	42862	12727	77.11	55589
33	43168	12654	77.33	55822
34	43129	12823	77.08	55952
35	42869	12736	77.10	55605
36	42548	12654	77.08	55202
37	42407	12202	77.66	54609
38	42222	12343	77.38	54565
39	42191	12203	77.57	54394
40	41812	12172	77.45	53984
41	40923	12125	77.14	53048
42	40812	11871	77.47	52683
43	40465	11971	77.17	52436
44	40037	11966	76.99	52003
45	40048	11855	77.16	51903
46	39819	11572	77.48	51391
47	39454	11546	77.36	51000
48	39365	11420	77.51	50785
49	38610	11279	77.39	49889
50	38553	11273	77.38	49826
51	38557	11077	77.68	49634
52	37963	10892	77.71	48855
53	37844	10899	77.64	48743
54	37589	10946	77.45	48535
55	37514	10824	77.61	48338
56	37250	10934	77.31	48184
57	36918	10611	77.67	47529
58	36575	10535	77.64	47110
59	36103	10534	77.41	46637
60	36076	10548	77.38	46624
61	35741	10378	77.50	46119
62	35218	10238	77.48	45456
63	35323	10222	77.56	45545
64	34753	10154	77.39	44907
65	34501	10062	77.42	44563
66	33948	9856	77.50	43804
67	33828	9837	77.47	43665
68	33293	9513	77.78	42806
69	33279	9641	77.54	42920
70	33038	9432	77.79	42470
71	32524	9487	77.42	42011
72	32280	9384	77.48	41664
73	31787	9146	77.66	40933
74	31895	8915	78.15	40810
75	31866	8992	77.99	40858
76	31409	8978	77.77	40387
77	31207	9044	77.53	40251
78	31062	8823	77.88	39885
79	30519	8907	77.41	39426
80	30380	8695	77.75	39075
81	29756	8654	77.47	38410
82	29844	8482	77.87	38326
83	29130	8399	77.62	37529
84	28953	8406	77.50	37359
85	28943	8145	78.04	37088
86	28658	8172	77.81	36830
87	28050	7884	78.06	35934
88	27686	7902	77.80	35588
89	27454	7881	77.70	35335
90	27393	7735	77.98	35128
91	26996	7750	77.70	34746
92	26930	7583	78.03	34513
93	26767	7465	78.19	34232
94	26311	7509	77.80	33820
95	25835	7295	77.98	33130
96	25761	7288	77.95	33049
97	25411	7006	78.39	32417
98	24609	6859	78.20	31468
99	24616	7107	77.60	31723
100	24486	6889	78.04	31375
101	24428	6882	78.02	31310
102	23981	6871	77.73	30852
103	23791	6780	77.82	30571
104	23713	6810	77.69	30523
105	23654	6546	78.32	30200
106	22787	6464	77.90	29251
107	22902	6397	78.17	29299
108	22779	6249	78.47	29028
109	22136	6210	78.09	28346
110	22054	6191	78.08	28245
111	21644	6176	77.80	27820
112	21410	6016	78.06	27426
113	21356	5948	78.22	27304
114	21359	5862	78.47	27221
115	20512	5877	77.73	26389
116	20740	5765	78.25	26505
117	20320	5786	77.84	26106
118	20011	5669	77.92	25680
119	19951	5646	77.94	25597
120	19734	5586	77.94	25320
121	19286	5441	78.00	24727
122	19085	5323	78.19	24408
123	19027	5381	77.95	24408
124	18696	5247	78.09	23943
125	18738	5106	78.59	23844
126	18502	5113	78.35	23615
127	18142	5143	77.91	23285
128	18044	4982	78.36	23026
129	17609	4864	78.36	22473
130	17577	4806	78.53	22383
131	17176	4754	78.32	21930
132	16791	4717	78.07	21508
133	16597	4724	77.84	21321
134	16438	4510	78.47	20948
135	16200	4377	78.73	20577
136	15674	4422	78.00	20096
137	15212	4182	78.44	19394
138	14753	3848	79.31	18601
139	14147	3357	80.82	17504
140	13231	2	99.98	13233

CHG context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	101746	199650	33.76	301396
2	80471	306318	20.80	386789
3	35390	293268	10.77	328658
4	24492	292175	7.73	316667
5	19353	309056	5.89	328409
6	13545	308286	4.21	321831
7	10856	294640	3.55	305496
8	8822	285823	2.99	294645
9	7445	285960	2.54	293405
10	6726	286050	2.30	292776
11	5831	284647	2.01	290478
12	5369	285202	1.85	290571
13	5117	283696	1.77	288813
14	5194	283558	1.80	288752
15	4986	282772	1.73	287758
16	4810	280777	1.68	285587
17	4981	281794	1.74	286775
18	4857	282175	1.69	287032
19	4959	281223	1.73	286182
20	4927	280118	1.73	285045
21	4819	280261	1.69	285080
22	4839	279435	1.70	284274
23	4862	280902	1.70	285764
24	4820	279080	1.70	283900
25	5028	278546	1.77	283574
26	4823	278516	1.70	283339
27	4924	275113	1.76	280037
28	4911	274924	1.75	279835
29	4975	272568	1.79	277543
30	4694	270871	1.70	275565
31	4763	271202	1.73	275965
32	4844	270406	1.76	275250
33	4718	268666	1.73	273384
34	4771	268166	1.75	272937
35	4630	266269	1.71	270899
36	4747	264332	1.76	269079
37	4791	261929	1.80	266720
38	4619	261211	1.74	265830
39	4735	260122	1.79	264857
40	4587	258432	1.74	263019
41	4578	258052	1.74	262630
42	4602	255651	1.77	260253
43	4531	253140	1.76	257671
44	4592	252877	1.78	257469
45	4389	249515	1.73	253904
46	4451	249049	1.76	253500
47	4519	247401	1.79	251920
48	4409	244339	1.77	248748
49	4346	242359	1.76	246705
50	4184	241092	1.71	245276
51	4259	238869	1.75	243128
52	4200	238323	1.73	242523
53	4116	236648	1.71	240764
54	4178	234378	1.75	238556
55	4006	232374	1.69	236380
56	4244	230966	1.80	235210
57	4146	229932	1.77	234078
58	4076	227702	1.76	231778
59	4184	226155	1.82	230339
60	4043	225176	1.76	229219
61	4050	221515	1.80	225565
62	3996	220751	1.78	224747
63	3943	217486	1.78	221429
64	3797	215774	1.73	219571
65	3893	214364	1.78	218257
66	3751	211745	1.74	215496
67	3839	210304	1.79	214143
68	3803	208610	1.79	212413
69	3840	206417	1.83	210257
70	3759	205060	1.80	208819
71	3707	203096	1.79	206803
72	3745	201681	1.82	205426
73	3747	199388	1.84	203135
74	3485	197256	1.74	200741
75	3447	196416	1.72	199863
76	3506	194177	1.77	197683
77	3528	192952	1.80	196480
78	3539	191537	1.81	195076
79	3314	190175	1.71	193489
80	3323	188547	1.73	191870
81	3488	186386	1.84	189874
82	3298	184785	1.75	188083
83	3198	182668	1.72	185866
84	3371	179921	1.84	183292
85	3304	178790	1.81	182094
86	3156	177222	1.75	180378
87	3221	175402	1.80	178623
88	3123	173831	1.76	176954
89	3308	172671	1.88	175979
90	3113	170301	1.80	173414
91	3147	168271	1.84	171418
92	3209	167439	1.88	170648
93	3155	165070	1.88	168225
94	3144	163663	1.88	166807
95	3155	161581	1.92	164736
96	3060	159045	1.89	162105
97	3102	156585	1.94	159687
98	3044	155582	1.92	158626
99	2929	155073	1.85	158002
100	2923	152835	1.88	155758
101	2985	150881	1.94	153866
102	2989	149905	1.95	152894
103	2930	147805	1.94	150735
104	3010	145436	2.03	148446
105	2888	144639	1.96	147527
106	2917	143535	1.99	146452
107	3021	141024	2.10	144045
108	2700	140012	1.89	142712
109	2891	138530	2.04	141421
110	2857	136525	2.05	139382
111	2635	135657	1.91	138292
112	2862	133573	2.10	136435
113	2766	131944	2.05	134710
114	2712	129789	2.05	132501
115	2673	128198	2.04	130871
116	2717	126691	2.10	129408
117	2721	124746	2.13	127467
118	2519	123678	2.00	126197
119	2524	122987	2.01	125511
120	2656	121798	2.13	124454
121	2592	119493	2.12	122085
122	2546	118245	2.11	120791
123	2497	116653	2.10	119150
124	2517	115092	2.14	117609
125	2555	114050	2.19	116605
126	2482	112567	2.16	115049
127	2494	110103	2.21	112597
128	2395	109528	2.14	111923
129	2459	107326	2.24	109785
130	2614	106065	2.41	108679
131	2417	104021	2.27	106438
132	2247	102995	2.14	105242
133	2325	101292	2.24	103617
134	2286	99285	2.25	101571
135	2260	97054	2.28	99314
136	2206	94079	2.29	96285
137	1877	90826	2.02	92703
138	1942	85843	2.21	87785
139	1531	74729	2.01	76260
140	1241	2	99.84	1243

CHH context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	287787	644047	30.88	931834
2	234962	704767	25.00	939729
3	195442	801968	19.59	997410
4	145893	870983	14.35	1016876
5	99432	926795	9.69	1026227
6	73620	993964	6.90	1067584
7	54091	1023350	5.02	1077441
8	41529	1017914	3.92	1059443
9	31479	1018914	3.00	1050393
10	25347	1017536	2.43	1042883
11	20188	1018206	1.94	1038394
12	16622	1013238	1.61	1029860
13	14738	1009387	1.44	1024125
14	13627	1004961	1.34	1018588
15	12665	994924	1.26	1007589
16	11660	988372	1.17	1000032
17	12322	979295	1.24	991617
18	11350	975087	1.15	986437
19	11300	969394	1.15	980694
20	11153	961584	1.15	972737
21	10694	957481	1.10	968175
22	10846	948212	1.13	959058
23	10603	944538	1.11	955141
24	10649	941498	1.12	952147
25	11179	934985	1.18	946164
26	10513	929339	1.12	939852
27	10705	924590	1.14	935295
28	10790	918907	1.16	929697
29	10918	912517	1.18	923435
30	10049	908052	1.09	918101
31	9977	905228	1.09	915205
32	10420	902927	1.14	913347
33	10078	898893	1.11	908971
34	10152	892962	1.12	903114
35	9739	889626	1.08	899365
36	10112	883542	1.13	893654
37	10471	875779	1.18	886250
38	9939	872454	1.13	882393
39	10416	863635	1.19	874051
40	9636	858330	1.11	867966
41	10102	853022	1.17	863124
42	9659	846365	1.13	856024
43	9277	842346	1.09	851623
44	9451	833036	1.12	842487
45	9335	828527	1.11	837862
46	9410	822870	1.13	832280
47	9132	818051	1.10	827183
48	9216	810651	1.12	819867
49	9167	802401	1.13	811568
50	8885	796657	1.10	805542
51	9274	791100	1.16	800374
52	8734	785848	1.10	794582
53	9016	780598	1.14	789614
54	8859	774205	1.13	783064
55	8744	768775	1.12	777519
56	9068	762009	1.18	771077
57	8505	757638	1.11	766143
58	8485	752445	1.12	760930
59	8754	747060	1.16	755814
60	8459	741213	1.13	749672
61	8155	735541	1.10	743696
62	8119	730349	1.10	738468
63	8364	723736	1.14	732100
64	8168	715201	1.13	723369
65	8286	709243	1.15	717529
66	8105	704732	1.14	712837
67	7975	696578	1.13	704553
68	7847	688801	1.13	696648
69	8446	683502	1.22	691948
70	8309	675131	1.22	683440
71	7709	667893	1.14	675602
72	7558	663382	1.13	670940
73	7810	658321	1.17	666131
74	7536	650673	1.14	658209
75	7155	645080	1.10	652235
76	7546	640781	1.16	648327
77	7301	635508	1.14	642809
78	7389	630137	1.16	637526
79	7015	623490	1.11	630505
80	7216	616372	1.16	623588
81	7241	610354	1.17	617595
82	6776	604192	1.11	610968
83	6914	600997	1.14	607911
84	7010	593724	1.17	600734
85	6871	588402	1.15	595273
86	6619	581238	1.13	587857
87	6699	577782	1.15	584481
88	6817	572203	1.18	579020
89	6995	565879	1.22	572874
90	6562	561382	1.16	567944
91	6493	555898	1.15	562391
92	6544	550619	1.17	557163
93	6877	545579	1.24	552456
94	6568	539673	1.20	546241
95	6958	534262	1.29	541220
96	6568	528315	1.23	534883
97	6637	522759	1.25	529396
98	6320	514341	1.21	520661
99	6330	508223	1.23	514553
100	6201	504106	1.22	510307
101	6555	497718	1.30	504273
102	6499	494397	1.30	500896
103	6517	488604	1.32	495121
104	6432	484185	1.31	490617
105	6285	477955	1.30	484240
106	6019	474641	1.25	480660
107	6608	467675	1.39	474283
108	5986	464046	1.27	470032
109	6363	458199	1.37	464562
110	6311	453571	1.37	459882
111	5986	447420	1.32	453406
112	6422	441576	1.43	447998
113	6032	437158	1.36	443190
114	6021	432903	1.37	438924
115	6003	427601	1.38	433604
116	6059	422269	1.41	428328
117	6198	418213	1.46	424411
118	5742	411842	1.38	417584
119	5702	406889	1.38	412591
120	5902	401721	1.45	407623
121	5697	398033	1.41	403730
122	5860	393185	1.47	399045
123	5566	388271	1.41	393837
124	5747	383460	1.48	389207
125	5765	379332	1.50	385097
126	5707	372956	1.51	378663
127	5705	368295	1.53	374000
128	5667	362664	1.54	368331
129	5624	357547	1.55	363171
130	5815	351853	1.63	357668
131	5778	349743	1.63	355521
132	5398	344377	1.54	349775
133	5191	337239	1.52	342430
134	5415	330337	1.61	335752
135	4865	325080	1.47	329945
136	4803	315151	1.50	319954
137	4392	303836	1.42	308228
138	3979	285996	1.37	289975
139	3021	252158	1.18	255179
140	2032	203	90.92	2235

